t,binance_funding_rate,funding_payment
1735689600000,,1.25e-05
1735689600015,0.0001,
1735693200000,,3.549e-05
1735696800000,,1.25e-05
1735700400000,,4.378e-05
1735704000000,,3.874e-05
1735707600000,,3.503e-05
1735711200000,,6.011e-05
1735714800000,,5.616e-05
1735718400000,0.0001,5.625e-05
1735722000000,,3.383e-05
1735725600000,,3.518e-05
1735729200000,,1.25e-05
1735732800000,,4.05e-05
1735736400000,,5.874e-05
1735740000000,,4.783e-05
1735743600000,,4.368e-05
1735747200000,,9.237e-05
1735747200001,0.0001,
1735750800000,,3.714e-05
1735754400000,,3.177e-05
1735758000000,,3.82e-05
1735761600000,,6.563e-05
1735765200000,,4.59e-05
1735768800000,,4.805e-05
1735772400000,,1.25e-05
1735776000000,0.0001,1.25e-05
1735779600000,,4.134e-05
1735783200000,,1.25e-05
1735786800000,,1.25e-05
1735790400000,,1.25e-05
1735794000000,,1.25e-05
1735797600000,,3.74e-05
1735801200000,,3.951e-05
1735804800000,,4.056e-05
1735804800006,0.0001,
1735808400000,,3.891e-05
1735812000000,,3.311e-05
1735815600000,,1.25e-05
1735819200000,,1.25e-05
1735822800000,,1.25e-05
1735826400000,,1.25e-05
1735830000000,,8.405e-05
1735833600000,0.0001,1.25e-05
1735837200000,,1.25e-05
1735840800000,,1.25e-05
1735844400000,,1.25e-05
1735848000000,,1.25e-05
1735851600000,,1.25e-05
1735855200000,,1.25e-05
1735858800000,,1.25e-05
1735862400000,0.0001,1.25e-05
1735866000000,,1.25e-05
1735869600000,,1.25e-05
1735873200000,,1.25e-05
1735876800000,,1.25e-05
1735880400000,,1.25e-05
1735884000000,,1.25e-05
1735887600000,,1.25e-05
1735891200000,0.0001,1.25e-05
1735894800000,,9.19e-06
1735898400000,,1.25e-05
1735902000000,,1.25e-05
1735905600000,,1.25e-05
1735909200000,,1.25e-05
1735912800000,,1.25e-05
1735916400000,,1.25e-05
1735920000000,5.242e-05,1.25e-05
1735923600000,,-5.19e-06
1735927200000,,1.25e-05
1735930800000,,1.25e-05
1735934400000,,1.25e-05
1735938000000,,1.25e-05
1735941600000,,1.25e-05
1735945200000,,1.25e-05
1735948800000,7.699e-05,1.25e-05
1735952400000,,1.25e-05
1735956000000,,1.25e-05
1735959600000,,1.25e-05
1735963200000,,1.25e-05
1735966800000,,1.25e-05
1735970400000,,1.25e-05
1735974000000,,1.25e-05
1735977600000,0.0001,1.25e-05
1735981200000,,1.25e-05
1735984800000,,1.25e-05
1735988400000,,1.25e-05
1735992000000,,1.25e-05
