t,binance_funding_rate,funding_payment
1735689600000,,-3.058e-05
1735689600015,-0.00013119,
1735693200000,,-3.879e-05
1735696800000,,-3.913e-05
1735700400000,,-1.358e-05
1735704000000,,1.25e-05
1735707600000,,-3.53e-06
1735711200000,,-4.828e-05
1735714800000,,-1.519e-05
1735718400000,-9.844e-05,-9.33e-06
1735722000000,,-1.554e-05
1735725600000,,-1.717e-05
1735729200000,,-1.384e-05
1735732800000,,-1.604e-05
1735736400000,,-2.262e-05
1735740000000,,1.25e-05
1735743600000,,1.25e-05
1735747200000,,-2.688e-05
1735747200001,7.837e-05,
1735750800000,,-9.88e-06
1735754400000,,1.25e-05
1735758000000,,5.23e-06
1735761600000,,-3.89e-06
1735765200000,,9.79e-06
1735768800000,,-2.508e-05
1735772400000,,1.25e-05
1735776000000,0.0001,1.25e-05
1735779600000,,1.25e-05
1735783200000,,1.25e-05
1735786800000,,7.27e-06
1735790400000,,1.25e-05
1735794000000,,1.25e-05
1735797600000,,1.25e-05
1735801200000,,1.86e-06
1735804800000,,1.25e-05
1735804800006,6.44e-05,
1735808400000,,1.25e-05
1735812000000,,1.25e-05
1735815600000,,1.25e-05
1735819200000,,1.25e-05
1735822800000,,1.25e-05
1735826400000,,1.25e-05
1735830000000,,1.25e-05
1735833600000,4.517e-05,1.25e-05
1735837200000,,1.25e-05
1735840800000,,1.25e-05
1735844400000,,1.25e-05
1735848000000,,1.25e-05
1735851600000,,1.091e-05
1735855200000,,1.25e-05
1735858800000,,1.25e-05
1735862400000,-3.174e-05,1.25e-05
1735866000000,,1.25e-05
1735869600000,,1.25e-05
1735873200000,,1.25e-05
1735876800000,,1.25e-05
1735880400000,,1.25e-05
1735884000000,,1.25e-05
1735887600000,,1.25e-05
1735891200000,-4.986e-05,1.25e-05
1735894800000,,1.25e-05
1735898400000,,1.25e-05
1735902000000,,1.25e-05
1735905600000,,1.25e-05
1735909200000,,2.19e-05
1735912800000,,3.537e-05
1735916400000,,1.25e-05
1735920000000,0.0001,8.106e-05
1735923600000,,4.957e-05
1735927200000,,9.416e-05
1735930800000,,0.00011412
1735934400000,,3.55e-05
1735938000000,,7.39e-05
1735941600000,,5.505e-05
1735945200000,,8.168e-05
1735948800000,0.0001,7.615e-05
1735952400000,,9.096e-05
1735956000000,,6.616e-05
1735959600000,,6.988e-05
1735963200000,,7.187e-05
1735966800000,,5.059e-05
1735970400000,,7.27e-05
1735974000000,,3.651e-05
1735977600000,0.0001,7.291e-05
1735981200000,,1.25e-05
1735984800000,,2.012e-05
1735988400000,,9.146e-05
1735992000000,,0.00014054
1735995600000,,1.25e-05
1735999200000,,8.357e-05
1736002800000,,3.217e-05
1736006400000,0.0001,2.299e-05
1736010000000,,1.25e-05
1736013600000,,1.25e-05
1736017200000,,1.25e-05
1736020800000,,1.25e-05
1736024400000,,1.25e-05
1736028000000,,1.25e-05
1736031600000,,1.25e-05
1736035200000,0.0001,1.25e-05
1736038800000,,1.25e-05
1736042400000,,1.25e-05
1736046000000,,1.25e-05
1736049600000,,1.25e-05
1736053200000,,1.25e-05
1736056800000,,1.25e-05
1736060400000,,1.25e-05
1736064000000,0.0001,1.25e-05
1736067600000,,1.25e-05
1736071200000,,1.25e-05
1736074800000,,1.25e-05
1736078400000,,1.25e-05
1736082000000,,1.25e-05
1736085600000,,1.25e-05
1736089200000,,6.475e-05
1736092800000,0.0001,4.034e-05
1736096400000,,1.25e-05
1736100000000,,1.699e-05
1736103600000,,1.25e-05
1736107200000,,3.942e-05
1736110800000,,1.25e-05
1736114400000,,0.00012329
1736118000000,,8.951e-05
1736121600000,0.0001,8.146e-05
1736125200000,,2.099e-05
1736128800000,,2.645e-05
1736132400000,,1.25e-05
1736136000000,,1.25e-05
1736139600000,,1.25e-05
1736143200000,,1.25e-05
1736146800000,,1.25e-05
1736150400000,,1.25e-05
1736150400001,0.0001,
1736154000000,,1.25e-05
1736157600000,,1.25e-05
1736161200000,,1.25e-05
1736164800000,,5.308e-05
1736168400000,,2.673e-05
1736172000000,,4.221e-05
1736175600000,,7.5e-05
1736179200000,0.0001,1.25e-05
1736182800000,,6.405e-05
1736186400000,,2.126e-05
1736190000000,,1.25e-05
1736193600000,,1.25e-05
1736197200000,,1.25e-05
1736200800000,,1.25e-05
1736204400000,,2.137e-05
1736208000000,0.0001,1.25e-05
1736211600000,,1.25e-05
1736215200000,,1.25e-05
1736218800000,,1.25e-05
1736222400000,,1.25e-05
1736226000000,,1.25e-05
1736229600000,,1.875e-05
1736233200000,,1.876e-05
1736236800000,0.0001,1.25e-05
1736240400000,,3.849e-05
1736244000000,,1.25e-05
1736247600000,,1.25e-05
1736251200000,,2.514e-05
1736254800000,,4.044e-05
1736258400000,,1.25e-05
1736262000000,,1.25e-05
1736265600000,,1.25e-05
1736265600008,0.0001,
1736269200000,,1.25e-05
1736272800000,,1.25e-05
1736276400000,,1.25e-05
1736280000000,,2.701e-05
1736283600000,,1.25e-05
1736287200000,,2.066e-05
1736290800000,,4.348e-05
1736294400000,,7.205e-05
1736294400001,-4.196e-05,
1736298000000,,2.788e-05
1736301600000,,1.25e-05
1736305200000,,1.25e-05
1736308800000,,1.25e-05
1736312400000,,1.25e-05
1736316000000,,1.25e-05
1736319600000,,1.25e-05
1736323200000,0.0001,1.25e-05
1736326800000,,1.25e-05
1736330400000,,1.25e-05
1736334000000,,-2.82e-06
1736337600000,,1.25e-05
1736341200000,,1.76e-06
1736344800000,,-6.681e-05
1736348400000,,4.2e-07
1736352000000,-8.751e-05,-1.335e-05
1736355600000,,-2.634e-05
1736359200000,,-4.054e-05
1736362800000,,6.16e-06
1736366400000,,-3.625e-05
1736370000000,,3.16e-06
1736373600000,,1.25e-05
1736377200000,,4.713e-05
1736380800000,-7.104e-05,1.25e-05
1736384400000,,1.25e-05
1736388000000,,2.223e-05
1736391600000,,1.516e-05
1736395200000,,1.25e-05
1736398800000,,2.346e-05
1736402400000,,1.25e-05
1736406000000,,1.999e-05
1736409600000,0.0001,1.25e-05
1736413200000,,1.25e-05
1736416800000,,1.25e-05
1736420400000,,1.632e-05
1736424000000,,1.25e-05
1736427600000,,1.25e-05
1736431200000,,2.598e-05
1736434800000,,7.033e-05
1736438400000,9.152e-05,1.25e-05
1736442000000,,1.25e-05
